Name,Comment,Time,Likes,Reply Count,Comments
ͥ𒆜Jαγαntツ,Sir kaha se kare course pls btaye,2022-06-20T08:01:52Z,0,0,Question
Parmjeet Singh,"Hi Sir, mujhe Data analyst ka course karna hai... mujhe Data Analyst ka course kahan se karna chahiye.. main already operations mein job kar rha hu as manager, but main apna career switch karna chahta hu, data analysis and data science ki taraf... pls advise me, i'm from Delhi..

Main plan kar rha tha Data Analyst ka course from SimpliLearn but i want to give a second thought to my decision. And as per my discussion with them they said k mujhe module k 5mein se 2 topic khud se karne padenge and once I clear the assessment, tabhi main next modules k liye eligible ho paunga.. 

Yeh Baat unhone mujhe pahle nhi btayi... jab maine further dig down kiya tab pta chala.. and the bad thing is k unhone kahan yeh assessment wala kaam tmhe enroll karne k baad karna hoga.. Maine unko bola k yeh kaam tmhe enroll karne se pahle karwana chahiye and tmhe apne kuch free program rakhne chahiye ki pahle inka certification clear karo and then apply for this course.. what if i enroll and not able to clear the assessment, mere paise toh gye Paani mein... unhone bola k hum backend team se tmhe extra chance dilwa denge assessment clear karne k liye... but uska kya faayda jab mujhe kuch samajh hi nhi aayega and main course mein enroll b kar lu. Ab main plan kar rha hu k pahle udemy se koi course pick kar lu data analyst ka so that I understand the concepts and then I will enroll in SimpliLearn for certification purpose...",2022-06-19T08:47:35Z,0,1,Help
avnish sharma,Same here 🙄,2022-06-21T10:38:52Z,0,,Help
Simana Chariye,Sir Simplilearn ka avi ek job guarantee course aaya hey.. data science job guarantee course.. woh karni chahiye? Woh installment facility vi provide kar rahi hey.. isse join kar sakte hey?,2022-06-17T20:52:18Z,0,0,Question
kiddikid,Hi there I am already abroad and I was looking for some data science courses and I came across this. They just offered me post graduate program in data science and it is accreditation by Purdue university and IBM and they are asking for 2200 $. So what do you recommend,2022-06-11T16:10:48Z,0,2,Appreciated
kiddikid, Science Career Coach thanks very much. Can you plz guide me as I have a degree in statistics and I want to pursue my career in data science and at the moment I am F7doing short courses like SAS visual analytics for  SAS viya and there are few more thi,2022-06-11T18:15:14Z,0,,Help
Data Science Career Coach,Galti se bhi nahi lena,2022-06-11T17:12:02Z,0,,Emotions
shivanand badiger,"Sir, now they introduced the job guarantee program than it is better to join or not..?? Please suggest",2022-06-11T13:53:31Z,0,0,Question
lakshmi k.v,"Don't join ""SIMPLILEARN"" it's worst",2022-06-07T18:11:10Z,1,0,Bad
lakshmi k.v,"If anyone wish to join simplilearn. Just listen to my story. What points specified in this video is exactly true.
I took DATA SCIENCE WITH PYTHON course a month ago, with EMI option. Classes to be held on weekends.
I took 2 weekends, means 4 classes, which was worst, 70 to 80 minimum in class... instructor are ok. Like youtube....keep on teaching... they won't respond to problem you face.
I decided not to continue.
Refund procedure huge drama by SIMPLILEARN CUSTOMER SUPPORT TEAM COMPANY.
we cont according to terms and policies. Every month EMI raises, bank levy high charges, mental Pressures everything. 


Moral of the story ""being educated...pleassssee  don't get fooled by marketing and advertising strategies of SIMPLILEARN""",2022-06-07T18:04:15Z,0,0,Bad
Aniket,Sir now they are providing job guarantee . Now worth it ????,2022-06-01T12:04:16Z,0,1,Question
Data Science Career Coach,"As per me , no dear",2022-06-01T12:16:19Z,1,,
Anjali yadav,Thank you so much sir. You have saved a lot of us. Sir what about edureka,2022-06-01T06:16:42Z,1,1,Appreciated
Data Science Career Coach,"Sister of Simplilearn dear..no good, but in dono ka yt channel achha hai",2022-06-01T06:18:45Z,0,,
mutual  funds & stocks 😁🥰,Sir  suggest  me  best  data science course online  in which I  get  job garenty,2022-05-31T14:28:24Z,0,0,Help
Manisha Thakur,Sir mere bhai ne join Kiya hai inka data science ka course or 1 week k bad usko lga ki mujse nhi ho rha .ye quit Krna chahta hai mgr fas gya wo inhone 170000 rs ka bill bta diya hai or bol rhe hn hm apko refund nhi kr skty apko .apko paiso bapis nhi milenge ..wo to loan pr le k kr rha tha but usko smjh nhi aya .ab kaise nikl skty hain is cheej se .,2022-05-31T13:44:29Z,0,2,Question
Manisha Thakur,@Data Science Career Coach but sir unke bill me likha hua hai ki fee is non refundable to wo ye bol skty hain ki apne hmari terms and conditions kyu nhi read ki .ab mere bhai ne nhi ki read but bnda almost 2 lakh bhrega bina interest k ye b to koi logic n,2022-05-31T14:07:08Z,0,,Suggestion
Data Science Career Coach,Consumer court dear,2022-05-31T14:01:04Z,0,,
shivam sahani,Sir where can i do cloud devops engineering,2022-05-26T08:31:49Z,0,0,Help
Praveen Singh,"Sir myself Praveen Singh
I am doing job in civil feild in Bangalore 10 years can you suggest me data science pls suggest me",2022-05-23T10:14:42Z,1,0,Help
vaishali patel,Thanks for sharing i was just thinking about to join.thanks for sharing real things.,2022-05-14T04:29:44Z,0,0,Appreciated
Prabhu Shankar,Sir please suggest me where can I enroll for data science course?,2022-05-06T11:15:43Z,0,0,Help
rahul kshirsagar,you are correct Sir. Don't join Simplilearn I have my experience I was joined Simplilearn classes when I don't want to continue classes they forcing me to continue even I am fitted under refund   policy. They are calling and given discount again but they are forcing to continue.,2022-05-02T12:42:55Z,1,1,Suggestion
ZeeVlog Youtuber,Why u want to continue u didn't get job ?,2022-05-28T08:21:27Z,0,,Question
sanjay kumar,Which place is best for data science job grauntee program please provide me,2022-05-01T05:23:22Z,0,0,Help
Happy Being,"Simplilearn purdue University digital marketing course verses ISB Digital marking course

Price , duration, number of hours classes taken, promises are all same

What do you suggest someone ??",2022-04-22T04:08:01Z,0,1,Help
Sagar gupta,It depends on how much eagerly you want to learn. Youtube itself has so much content to study. Good Luck!!,2022-05-31T09:49:37Z,0,,
pulkit jain,Sir maine llb kr rkhi h unemployed hu 28 sal ka hu... Mai data science ya business analytics ka course krna chahta hu... Sir kaha se krna chaiye jaha acha bh pdae aur job bh mil jae... Sir pase ki kami h bhaut jyada... Maine relevel ka business development course kra tha bilkul bakwas course tha... Kuch nh hua... Pls advice kriye,2022-04-20T02:49:40Z,0,0,Help
NADEEM AHMED,Hi sir I am confused which company are best in data scientist job guaranty program simple learn and intelipath contact many time both company are provide job guaranty program but fees is difference intelipath fees 115000 from mit and IIT Madras sallary guaranty 6 to 9 per year but simple learn 9 lack starting sallary fees 157000 thousand plz plz plz reply my coment i am waiting ur opinion,2022-04-09T19:16:13Z,0,0,Confused
Rose Gosh,Please  tell us which data scientist programme is best you should say first,2022-04-08T00:32:09Z,0,0,Help
Watan Asthana,Sir how about their pgp in digital supply chain management cource  is it any good.,2022-04-06T15:55:48Z,0,2,Help
Watan Asthana,@Data Science Career Coach sir suggest any  other source  from where the cource will be good.,2022-04-06T16:41:40Z,0,,Help
Data Science Career Coach,Useless,2022-04-06T16:36:58Z,0,,Bad
minhaj ahmad,Sir admission ke leye keya better hoga suggest me sir,2022-04-04T19:12:02Z,0,0,Suggestion
Shashi Bhushan,suggest any trusted for job guaranteed job institute,2022-04-03T07:47:21Z,0,0,Help
Jyoti Suryan,"Sir , I have completed MCA in 2016 n didn't do any job bt now i want to restart my career so think abt data science as data science is most popular.from whr i need to do with 100% job guarantee",2022-03-19T09:02:20Z,0,1,Help
Data Science Career Coach,Apne batchmates or seniors se jo aaj analytics or data science me hain,2022-03-19T10:11:06Z,0,,Question
Jyoti Suryan,Sir I wanted to join the data science course in simplylearn. And they were saying 100% job guarantee otherwise fee refund,2022-03-19T08:50:21Z,0,1,Question
Data Science Career Coach,Be careful,2022-03-19T10:10:23Z,0,,
Snehal Neel,Sir please suggest a good data analytics online course with job guarantee,2022-03-18T07:10:08Z,0,0,Help
Rohit Sarade,Dekho bhai jisne bhi simplilearn me Full stack developer ka course kiya hai wo please reply kare unka response hi sahi rahega .,2022-03-11T09:29:16Z,0,0,Help
utkarsh srivastav,Sir abhi simplilearn wale 100%job guarantee bol rhe hai to kya kre,2022-03-10T23:00:55Z,0,1,Question
Data Science Career Coach,No good dear,2022-03-10T23:11:26Z,0,,
injoy life,Love you sir,2022-03-08T13:23:50Z,1,0,Appreciated
Javidan Mamedzadeh,Any english subtitles?,2022-02-23T17:12:05Z,0,0,Question
Rakesh Kumar,Sir koi institute bta do aap ki data science kaha se karna sahi hoga,2022-02-19T03:01:55Z,0,1,Suggestion
Data Science Career Coach,Best is jo aapke relevant connections ne kiya ho,2022-02-19T04:37:05Z,0,,
shubham Bhangare,We provide job assurance Program,2022-02-16T18:02:29Z,0,0,Help
shubham Bhangare,We provide job assurance Program,2022-02-16T18:02:29Z,0,0,Appreciated
Shubham Urunkar,Sir abhi toh simplilearn ne 100% job guarantee program start kiya he...uska bhi review kijiye plz,2022-02-16T02:48:58Z,0,2,Help
Shubham Urunkar,"@Data Science Career Coach yes sir abhi dekha mene , thank you🙏",2022-02-16T04:05:26Z,0,,Question
Data Science Career Coach,Already kiya hai mere bhai,2022-02-16T03:59:51Z,1,,
Abhishek Ranga,sir data science can be learn by non technical background people,2022-02-13T03:16:26Z,0,0,Question
Abhishek Ranga,NIIT data science course kaisaa hai????,2022-02-13T03:12:05Z,0,0,Question
Naughty Baby,"Sir ,so which academy is best suited to do the data science course who can guarantee the job after completion of the course..please suggest because in the market so many academy are offering that it makes us confused what to do.",2022-02-10T11:32:47Z,2,1,Help
S D,got your answer?? please tell me too,2022-02-23T14:37:21Z,0,,Question
komal kale,"Sir, any institute that you suggest is best for Data Science with Placement?
Please let me know",2022-02-09T13:11:09Z,0,1,Help
Shariq Ansari,If you find please  let me know and any institute which you know about,2022-02-16T16:34:39Z,1,,Question
neil 9,Shamhaji tha B🤑$$  😎,2022-02-08T15:36:58Z,0,0,Appreciated
shital chavan,thanks for saving me,2022-02-08T08:47:17Z,0,0,Appreciated
Educate with Story Talk's,Great 👍,2022-02-05T09:26:53Z,0,0,Appreciated
Diksha Gupta,Sir meri ek current customer care se bat hue to bol rhe he job guarantees Dene ka bol rhe he,2022-02-05T08:31:15Z,0,0,Suggestion
Faheem shah,There is a  100%  job guarantee program any one want to know reply below .thanks,2022-01-25T00:32:41Z,0,0,Question
Anuj Sharma,Nice sir,2022-01-23T15:46:35Z,0,0,Appreciated
